origin,destination,depart_date,depart_time,depart_arrival,depart_duration,return_date,return_time,return_arrival,return_duration,fare,pic,map
MUC,DUB,2018-05-25,21:10,22:40,02:30,2018-05-28,16:55,20:20,02:25,146,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
FMM,AGP,2018-07-27,20:50,23:45,02:55,2018-07-30,17:25,20:10,02:45,149,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
FMM,AGP,2018-05-25,20:50,23:45,02:55,2018-05-28,17:25,20:10,02:45,156,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
FMM,DUB,2018-05-25,19:05,20:30,02:25,2018-05-28,13:10,16:30,02:20,159,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
FMM,AGP,2018-07-20,20:50,23:45,02:55,2018-07-23,17:25,20:10,02:45,159,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
FMM,AGP,2018-06-01,20:50,23:45,02:55,2018-06-04,17:25,20:10,02:45,162,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
FMM,AGP,2018-05-11,20:50,23:45,02:55,2018-05-14,17:25,20:10,02:45,168,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
FMM,AGP,2018-05-11,20:50,23:45,02:55,2018-05-14,17:25,20:10,02:45,168,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
FMM,OPO,2018-05-12,21:00,22:45,02:45,2018-05-15,16:55,20:35,02:40,197,/assets/img/opo.jpg,"https://www.google.de/maps/place/Francisco+S%C3%A1+Carneiro+Airport/@41.2421186,-8.6785514,15z/data=!4m2!3m1!1s0x0:0x151a578a6d6039d1?sa=X&ved=0ahUKEwjT_8SK4NfaAhXDjqQKHeqZCUsQ_BIIzAEwCg"
FMM,DUB,2018-05-11,19:05,20:30,02:25,2018-05-14,13:10,16:30,02:20,226,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
FMM,DUB,2018-05-11,19:05,20:30,02:25,2018-05-14,13:10,16:30,02:20,226,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
FMM,DUB,2018-06-01,19:05,20:30,02:25,2018-06-04,13:10,16:30,02:20,243,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
FMM,DUB,2018-05-04,19:05,20:30,02:25,2018-05-07,13:10,16:30,02:20,271,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
FMM,DUB,2018-05-04,19:05,20:30,02:25,2018-05-07,13:10,16:30,02:20,281,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
MUC,DUB,2018-05-18,21:10,22:40,02:30,2018-05-21,16:55,20:20,02:25,427,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
MUC,DUB,2018-05-18,21:10,22:40,02:30,2018-05-21,16:55,20:20,02:25,427,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
